id,aidat_tl,amerikan_mutfak,arakat_dubleksi,asansor,bahce_dubleksi,bahce_kati,bahceli,balkon,banyo_sayisi,bina_yasi,bogaz_manzarali,boyali,brut_m2,bulundugu_kat,cati_dubleksi,celik_kapi,deniz_manzarali,doga_manzarali,duvar_kagidi,emlak_tipi,esyali,fiyat,gol_manzarali,goruntulu_diafon,guney,guvenlik,havuz_manzarali,ilan_tarihi,isi_yalitim,isicam,isitma,kapali_garaj,kat_dubleksi,kat_sayisi,kimden,klima,kullanim_durumu,laminat_zemin,mahalle,mobilya,net_m2,oda_sayisi,otopark,parke_zemin,pvc_dograma,sehir,sehir_manzarali,semt,site_icerisinde,takas,teras,tripleks,yuzme_havuzu
628034903,Belirtilmemiş,False,False,False,False,False,False,Var,2,11-15 arası,False,False,225,Giriş Katı,False,False,False,False,False,Satılık Daire,Hayır,350.000 TL,False,False,True,False,False,21 Kasım 2018,False,False,Güneş Enerjisi,False,False,3,Emlak Ofisinden,False,Boş,False,Okurcalar Bld.,False,225,4+1,False,False,False,Antalya,False,Alanya,Hayır,Evet,False,False,False
628061524,60,True,False,True,False,False,False,Var,1,5-10 arası,False,True,100,2,False,True,False,True,True,Satılık Daire,Evet,320.000 TL,False,True,False,True,False,21 Kasım 2018,True,True,Doğalgaz (Kombi),False,False,5,Emlak Ofisinden,True,Kiracılı,False,Liman Mah.,True,100,2+1,True,True,False,Antalya,True,Konyaaltı,Evet,Hayır,False,False,False
628100677,400,True,False,True,False,True,False,Var,1,5-10 arası,False,True,90,Giriş Katı,False,True,False,True,True,Satılık Daire,Evet,370.000 TL,False,True,True,True,False,21 Kasım 2018,False,False,Klima,True,False,5,Emlak Ofisinden,False,Kiracılı,True,Liman Mah.,True,90,1+1,True,True,False,Antalya,True,Konyaaltı,,Hayır,False,False,True
628442899,Belirtilmemiş,False,False,False,False,False,False,Var,1,4,False,False,75,1,False,False,False,True,False,Satılık Residence,Evet,265.000 TL,False,False,True,False,False,26 Kasım 2018,False,False,Klima,False,False,5,İnşaat Firmasından,False,Boş,False,Hurma Mah.,True,65,1,True,True,False,Antalya,False,Konyaaltı,,Hayır,False,False,True
628794446,Belirtilmemiş,True,False,False,False,False,False,Yok,1,5-10 arası,False,False,75,Yüksek Giriş,False,True,False,False,False,Satılık Daire,Hayır,88.000 TL,False,False,False,False,False,23 Kasım 2018,False,False,Klima,False,False,3,Emlak Ofisinden,False,Kiracılı,True,Teomanpaşa Mh.,False,75,1+1,False,False,False,Antalya,True,Kepez,Hayır,Hayır,False,False,False
628881091,10,True,False,True,False,False,False,Var,1,0,False,True,60,2,False,True,False,False,False,Satılık Daire,Hayır,148.000 TL,False,False,True,False,False,23 Kasım 2018,True,True,Klima,False,False,3,Emlak Ofisinden,False,Boş,False,Ahatlı Mh.,False,50,1+1,True,True,True,Antalya,True,Kepez,Hayır,Hayır,False,False,False
629137508,25,False,False,False,False,False,False,Var,1,5-10 arası,False,True,100,2,False,True,False,False,False,Satılık Daire,Hayır,152.000 TL,False,False,True,False,False,24 Kasım 2018,False,False,Yok,False,False,3,Emlak Ofisinden,False,Boş,True,Kuzeyyaka Mah.,False,100,2+1,False,False,True,Antalya,False,Kepez,Hayır,Evet,False,False,False
629364723,Belirtilmemiş,False,False,False,False,False,False,Var,1,5-10 arası,False,True,110,3,False,True,False,False,False,Satılık Daire,Hayır,133.000 TL,False,False,False,False,False,25 Kasım 2018,False,False,Klima,False,False,3,Emlak Ofisinden,False,Mülk Sahibi,True,Kuzeyyaka Mah.,False,100,2+1,True,False,True,Antalya,True,Kepez,Hayır,Hayır,False,False,False
629667771,245,False,False,False,False,False,False,Var,1,5-10 arası,False,False,200,2,False,False,False,False,False,Satılık Yazlık,Evet,850.000 TL,False,False,False,False,False,26 Kasım 2018,False,False,Klima,False,False,3,Emlak Ofisinden,False,Mülk Sahibi,False,Side,False,200,3+1,False,False,False,Antalya,False,Manavgat,Hayır,Hayır,False,False,False
629770224,0,False,False,False,False,False,False,Var,1,0,False,True,125,2,False,True,False,True,True,Satılık Daire,Evet,129.999 TL,False,False,True,False,False,26 Kasım 2018,False,False,Klima,False,False,3,Emlak Ofisinden,True,Boş,True,Varsak Menderes Mah.,False,120,2+1,False,True,True,Antalya,True,Kepez,Hayır,Evet,False,False,False
630128037,Belirtilmemiş,False,False,False,False,False,False,Var,1,3,False,False,140,2,False,True,False,True,False,Satılık Daire,Hayır,177.350 TL,False,False,True,False,False,27 Kasım 2018,False,False,Klima,False,False,3,Emlak Ofisinden,False,Boş,True,Gazi Mah.,False,125,3+1,True,False,False,Antalya,True,Kepez,Hayır,Evet,False,False,False
630329742,Belirtilmemiş,False,False,False,False,False,False,Var,1,4,False,False,110,1,False,False,False,False,False,Satılık Daire,Hayır,178.000 TL,False,False,False,False,False,28 Kasım 2018,False,False,Klima,False,False,6,Emlak Ofisinden,False,Boş,False,Göksu Mh.,False,100,2+1,False,False,False,Antalya,False,Kepez,Hayır,Evet,False,False,False
630370842,30,False,False,False,False,False,False,Var,2,4,False,True,125,1,False,True,False,True,False,Satılık Daire,Hayır,393.000 TL,False,False,False,False,False,28 Kasım 2018,False,True,Klima,False,False,2,Emlak Ofisinden,False,Kiracılı,True,Gürsu Mh.,False,110,2+1,False,False,True,Antalya,True,Konyaaltı,Hayır,Evet,False,False,False
630488488,150,False,False,True,False,False,False,Var,2,5-10 arası,False,False,165,1,False,True,False,True,False,Satılık Daire,Hayır,420.000 TL,False,True,True,False,False,28 Kasım 2018,False,False,Yok,False,False,8,Emlak Ofisinden,False,Boş,False,Uncalı Mh.,False,155,3+1,False,False,True,Antalya,True,Konyaaltı,,Hayır,False,False,True
630882672,120,False,False,False,False,False,False,Var,1,0,False,False,122,Kot 1,False,False,False,False,False,Satılık Daire,Hayır,229.500 TL,False,False,True,False,False,29 Kasım 2018,False,False,Klima,False,False,6,İnşaat Firmasından,False,Boş,False,Hüsnü Karakaş Mh.,False,110,2+1,False,False,False,Antalya,False,Kepez,Hayır,Evet,False,False,False
631014019,Belirtilmemiş,False,False,False,False,False,False,Var,1,5-10 arası,False,True,140,3,False,True,False,False,False,Satılık Daire,Hayır,113.500 TL,False,False,True,False,False,30 Kasım 2018,False,True,Klima,False,False,5,Emlak Ofisinden,False,Boş,False,Şelale Mh.,False,140,3+1,True,False,True,Antalya,False,Kepez,Hayır,Hayır,False,False,False
631031650,Belirtilmemiş,False,False,True,False,False,False,Var,1,0,False,False,160,2,False,True,False,False,True,Satılık Daire,Hayır,294.000 TL,False,False,True,False,False,30 Kasım 2018,False,False,Klima,False,False,5,İnşaat Firmasından,False,Boş,False,Fevzi Çakmak Mh.,False,130,3+1,True,False,False,Antalya,False,Kepez,Hayır,Evet,False,False,False
631422634,Belirtilmemiş,False,False,True,False,False,False,Var,2,4,False,True,180,1,False,True,False,True,True,Satılık Daire,Hayır,695.000 TL,False,True,True,True,False,01 Aralık 2018,True,True,Doğalgaz (Kombi),True,False,3,Emlak Ofisinden,False,Mülk Sahibi,True,Uncalı Mh.,False,165,3+1,True,False,True,Antalya,False,Konyaaltı,,Hayır,False,False,True
631529449,Belirtilmemiş,False,False,True,False,False,False,Var,2,5-10 arası,False,False,300,5,True,True,False,False,False,Satılık Daire,Evet,545.000 TL,False,False,True,False,False,13 Aralık 2018,False,True,Klima,False,False,5,Sahibinden,False,Boş,True,Hacet Mah.,False,260,5+1,True,True,True,Antalya,True,Alanya,Hayır,Evet,True,False,False
631680179,Belirtilmemiş,False,False,False,False,False,False,Var,1,11-15 arası,False,False,160,6,False,False,False,False,False,Satılık Daire,Hayır,285.000 TL,False,False,False,False,False,02 Aralık 2018,False,False,Klima,False,False,8,Emlak Ofisinden,False,Kiracılı,False,Hurma Mah.,False,130,3+1,False,False,False,Antalya,False,Konyaaltı,Hayır,Hayır,False,False,False
631756825,10,False,False,False,False,False,False,Var,1,0,False,False,90,Kot 2,False,False,False,False,False,Satılık Daire,Hayır,125.000 TL,False,False,True,False,False,02 Aralık 2018,False,False,Doğalgaz (Kombi),False,False,3,Emlak Ofisinden,False,Boş,False,Varsak Karşıyaka Mh.,False,90,2+1,False,False,False,Antalya,False,Kepez,Hayır,Evet,False,False,False
632152015,Belirtilmemiş,False,False,True,False,False,False,Var,2,0,False,True,155,2,False,True,False,True,False,Satılık Daire,Hayır,419.999 TL,False,True,True,True,False,03 Aralık 2018,True,True,Doğalgaz (Kombi),False,False,4,Emlak Ofisinden,False,Boş,True,Gazi Mah.,True,155,3+1,True,False,True,Antalya,True,Kepez,Hayır,Evet,False,False,False
632287999,0,False,False,True,False,False,False,Var,1,0,False,False,110,Giriş Katı,False,False,False,False,False,Satılık Daire,Hayır,129.999 TL,False,False,True,False,False,04 Aralık 2018,False,False,Doğalgaz (Kombi),False,False,4,Emlak Ofisinden,False,Boş,False,Kızılarık Mh.,False,105,2+1,True,False,False,Antalya,False,Muratpaşa,Hayır,Evet,False,False,False
632439179,Belirtilmemiş,False,False,True,False,False,False,Var,1,16-20 arası,False,False,150,2,False,False,False,False,False,Satılık Daire,Hayır,363.000 TL,False,False,True,False,False,04 Aralık 2018,True,False,Klima,False,False,5,Emlak Ofisinden,False,Boş,True,Saray Mah.,False,135,3+1,False,False,False,Antalya,False,Alanya,Hayır,Hayır,False,False,False
632496224,Belirtilmemiş,False,False,False,False,False,False,Var,2,0,False,False,105,2,False,False,False,False,False,Satılık Residence,Hayır,485.000 TL,False,False,False,False,False,04 Aralık 2018,False,False,Klima,False,False,5,İnşaat Firmasından,False,Boş,False,Liman Mah.,False,10,2,False,False,False,Antalya,False,Konyaaltı,Evet,Hayır,False,False,False
